clubname,clubid
Adirondack Athletic Club,252
ARE Racing Team,279
Averill Park Road Runners,234
Castleton Cruisers,309
Central New York Pole Vault Club,319
Chatham Gold,218
Fleet Feet Sports Running/Walking Club,283
Glencadia Bullets Youth R.C.,212
Helderberg Running Club,275
HITS ENDURANCE,316
Hudson Mohawk Road Runners Club,201
In a New York Minute,310
Kinderhook Runners Club,287
Kinetic Running Club,231
Lake Placid/North Elba Half Marathon,301
Quicksilvers,298
Saratoga Stryders,203
Shawangunk Runners,202
Sisu Athletic Development,312
Spa City Running Club,302
Team Utopia,262
The Adirondack Runners,210
Utica Roadrunners,213
Wild Rovers Racing Team,320
Adirondack Race Management,306
Clifton Park Track Club,208
Delmar Track & Field Club,278
East Greenbush Track Club,318
EKMW Track Club,313
HRRT,315
iRun LOCAL,314
Nisky Athletic Club,296
Njia,307
Northern Lights Track Club,274
Pine Orchard Athletic Club,221
Racing City Running Club,271
Raise the Bar,317
Raise the Bar PV Club,291
The Blue Print,321
Willow Street AC,264
